".model","armse","amae","amape","srmse","smae","smape","h","i"
"ols",6109.3657390017,5949.85373311945,25.9091248469872,15010.0564301954,14929.0302010589,14.9578232080836,3,150
"wlss",6063.29099656824,5889.81369399349,32.6014440394165,14765.9734451649,14674.7348435572,27.3464108702507,3,150
"wlsv",6066.74979946702,5899.52784406918,26.4483307469918,15118.8393847529,15053.0331396149,15.2107446565417,3,150
"base",6249.28905745597,6074.80795033403,24.3070070189873,14780.014491108,14692.3454204238,13.5745574721719,3,151
"bu",6278.82989380508,6114.18784998165,24.2451792531962,14856.5809354862,14787.5523581633,13.545576984186,3,151
"mint",5857.04623071733,5670.40947362993,23.9693895897633,13702.6671945341,13587.6498129064,12.093303163857,3,151
"ols",6343.32539718709,6173.91253670622,46.9142561140651,14655.2547239062,14566.9214996841,55.222968496976,3,151
"wlss",6338.38595467315,6177.66239278681,29.6102188597806,14856.6689315486,14759.3598521898,28.0502717874803,3,151
"wlsv",6206.20458731771,6040.15123629011,24.0961893863627,14652.4559612585,14566.7020734157,13.6479172824206,3,151
"base",6434.24513863267,6283.15071763238,30.3880669107051,13716.5725003494,13405.5434845769,29.6629373733162,4,139
"bu",6476.53907206792,6326.45945408899,30.1248026130327,13836.0577409458,13531.3437248646,29.1647595997287,4,139
"mint",6296.73966777482,6137.16292291358,29.8849209691254,13603.5772357472,13278.619427474,34.9622077844926,4,139
"ols",6584.34235497841,6439.80295586064,31.0132764124912,14006.9397605406,13705.522433999,33.365021318186,4,139
"wlss",6630.05099549583,6482.44302928435,26.9095571131836,14043.897820824,13740.8630077996,12.55822090168,4,139
"wlsv",6580.87998697671,6433.80348335669,30.9031878744211,14103.0767279917,13798.2625980117,30.4256142597502,4,139
"base",4874.07078728052,4292.44359198461,25.6519432054694,10173.6249726436,8819.10623559487,24.5341170994435,4,140
"bu",4855.60468065501,4317.17601043278,25.4109994196888,10130.1280807833,8877.31723468845,24.0699678488871,4,140
"mint",4083.39691028515,3700.81506775007,27.1409396674535,8605.06037732561,7855.38137583526,40.094017066967,4,140
"ols",5009.60138394812,4427.57262291282,73.7963713020748,10388.4828375625,9005.45368738335,167.104299328037,4,140
"wlss",4943.13338238905,4366.6457172146,48.3942398472599,10280.7726104761,8915.00439037717,95.1410889278023,4,140
"wlsv",4903.83397000612,4299.00194274712,25.908977679537,10340.884548535,8898.22779583884,26.5143573345861,4,140
"base",4349.5672067692,3395.09103448116,26.5780798373631,8874.23521968935,6581.70515844125,21.0861680568379,4,141
"bu",4311.90224425292,3358.79985440022,26.4806362967103,8766.94985830141,6491.28576388272,21.5242268714413,4,141
"mint",4189.9702201376,3353.60551236075,28.6965882543918,8566.85173997877,6584.73238124352,27.652600231137,4,141
"ols",4454.79713677347,3438.03787248585,26.882837358492,9097.30047356739,6650.97465806477,23.0170390075972,4,141
"wlss",4451.9953136077,3438.0048234492,24.743034494315,9114.95087969261,6689.37117541576,14.4975575315852,4,141
"wlsv",4399.06695015463,3355.64607823489,26.3577299858507,9018.88474440243,6486.75492668508,21.1084049564944,4,141
"base",3166.75077676065,2616.31264362301,21.8390185434903,6406.21536765121,5140.56884749284,14.1528784667733,4,142
"bu",3172.46165262065,2622.65938963514,21.8159846735225,6398.0870461733,5144.03954572351,14.0681757911655,4,142
"mint",2941.37020807729,2536.32023939753,26.2377696399013,5711.81608183961,4954.85983500926,23.6308528661092,4,142
"ols",3390.85898010806,2733.77658243066,31.3641903356745,6751.91703467023,5260.06453585893,32.364267955593,4,142
"wlss",3278.42805217868,2648.35551703408,27.5602224626714,6540.74946508064,5076.26440892922,23.8130947469237,4,142
"wlsv",3337.46976226118,2665.71071876158,22.6146344501237,6856.86660444388,5259.36884040528,15.6855472035033,4,142
"base",2085.84283016943,1555.80117582248,20.5207837363407,3820.6830817794,2723.42114494205,11.856507814288,4,143
"bu",2019.01375905628,1558.04711204818,20.4182107308768,3648.22884705061,2723.16921301682,11.8325773596983,4,143
"mint",2044.61592632917,1611.6299768804,22.2521169236336,3674.76719481874,2802.59514681286,13.2198715433402,4,143
"ols",2074.31076800216,1542.2113590587,34.7228662180303,3743.65072516207,2617.53813233002,45.3651713550978,4,143
"wlss",2074.00405057983,1553.12096708839,31.4613157252001,3751.02240741041,2656.39400863896,37.9353697607583,4,143
"wlsv",2079.51971569432,1533.04946476469,20.4084952723463,3815.06238167509,2657.66779223217,12.0531835492192,4,143
"base",3109.18161377936,2454.70268560915,21.3284226664954,6207.48722819112,4760.23619455792,12.3470463193574,4,144
"bu",3105.95696499578,2468.37201899538,21.4652361613552,6219.53134425219,4804.14597323319,12.2769579467899,4,144
