".model","armse","amae","amape","srmse","smae","smape","h","i"
"wlss",14897.169769279,12559.4967404219,17.0096807253566,23395.4228233906,19590.7143292975,2.77888314762486,3,141
"wlsv",14785.4953578609,12406.1127301664,16.1426000710377,23307.1466753359,19448.0479836918,2.21521671763924,3,141
"base",9758.85902545127,6700.25655734223,15.5092560480916,14315.2735999368,9415.9191926488,8.87160511086664,3,142
"bu",9003.80636689638,6566.66177216096,14.4478729673287,13297.0534875236,9384.88879962527,7.00426383835117,3,142
"mint",8783.60065392466,7118.9789005069,17.9671127034472,12427.9055547129,10021.5282256329,8.77391976330766,3,142
"ols",9413.53522741372,6519.92820375251,14.5545726744404,13809.3468274526,9223.73712706138,8.00753150291745,3,142
"wlss",9236.04056967509,6351.35815950433,13.2019210647634,13774.9652703369,9182.13118134957,6.34470789956101,3,142
"wlsv",9272.60763274154,6388.943501519,14.482798284446,13690.3128492573,9041.88309363407,7.75549392527523,3,142
"base",6789.63799071377,5001.45846601369,12.526908155264,9754.5140438903,7119.74157844032,5.44424204395892,3,143
"bu",6512.12041911986,5232.48664715238,13.6071149345794,9066.708716222,7385.8095489953,6.15791577119866,3,143
"mint",6254.35603861451,5308.13427596374,15.3722445687058,8414.75403730314,7243.93289486483,7.77492542479852,3,143
