".model","RMSE","MAE","MAPE","h","i"
"sarimax0",16399.0055939531,16399.0055939531,2.68453083529463,1,141
"sarimax01",14131.364782986,14131.364782986,2.3133161512373,1,141
"sarimax012",13505.2084429195,13505.2084429195,2.21081383833831,1,141
"sarimax01c",16133.5338627744,16133.5338627744,2.64107289242332,1,141
"sarimax0c",16515.4393871576,16515.4393871576,2.70359114394182,1,141
"ets",582.962955496623,582.962955496623,0.0935951309843816,1,142
"nnetar",34010.7414971194,34010.7414971194,5.46044954535241,1,142
"nnetarc",34220.4337202577,34220.4337202577,5.49411578590164,1,142
"nnetarx0",42139.145988664,42139.145988664,6.76547086086988,1,142
"nnetarx01",40107.2444380132,40107.2444380132,6.43924757345958,1,142
"nnetarx012",9097.24444667553,9097.24444667553,1.46056928241381,1,142
"nnetarx01c",28849.97091339,28849.97091339,4.63188403495388,1,142
"nnetarx0c",34479.4518266207,34479.4518266207,5.53570133325725,1,142
"prophet",49849.3739030374,49849.3739030374,8.00335361956155,1,142
"prophetc",43542.576754816,43542.576754816,6.99079270190111,1,142
"prophetx0",35764.699052432,35764.699052432,5.74204872002154,1,142
"prophetx01",24142.0780420406,24142.0780420406,3.87602837414433,1,142
"prophetx012",23597.2989163969,23597.2989163969,3.78856368510807,1,142
"prophetx01c",24502.1334633048,24502.1334633048,3.93383553667005,1,142
"prophetx0c",38024.4602798175,38024.4602798175,6.10485504600909,1,142
"sarima",19467.864337462,19467.864337462,3.12557992831413,1,142
"sarimac",21984.3920772031,21984.3920772031,3.52961030658448,1,142
"sarimax0",23246.4151468081,23246.4151468081,3.73222903800004,1,142
"sarimax01",17686.0289611365,17686.0289611365,2.83950494899109,1,142
"sarimax012",18664.0462380782,18664.0462380782,2.9965263416495,1,142
"sarimax01c",16851.8167815042,16851.8167815042,2.70557157040285,1,142
"sarimax0c",23611.1065284262,23611.1065284262,3.79078050736799,1,142
"ets",5490.07888031472,5490.07888031472,0.964042387129201,1,143
"nnetar",10415.6447219633,10415.6447219633,1.82895787476838,1,143
"nnetarc",13632.8488634849,13632.8488634849,2.39388985991623,1,143
"nnetarx0",38692.0964748642,38692.0964748642,6.79422315449922,1,143
"nnetarx01",5257.40129683993,5257.40129683993,0.923184858868765,1,143
"nnetarx012",21127.0266582357,21127.0266582357,3.70984637134763,1,143
"nnetarx01c",4000.79263842525,4000.79263842525,0.702527918020609,1,143
"nnetarx0c",17605.631590929,17605.631590929,3.09149931646584,1,143
"prophet",523.760816905764,523.760816905764,0.0919709241382755,1,143
"prophetc",15255.464268836,15255.464268836,2.67881655457194,1,143
"prophetx0",417.558779605781,417.558779605781,0.0733221455344258,1,143
"prophetx01",12472.1922697055,12472.1922697055,2.19008183134374,1,143
"prophetx012",14108.3357022157,14108.3357022157,2.47738400946335,1,143
"prophetx01c",12312.581797537,12312.581797537,2.16205468201592,1,143
"prophetx0c",8797.48671274143,8797.48671274143,1.54481388631751,1,143
"sarima",16006.0584175142,16006.0584175142,2.8106187728336,1,143
"sarimac",2757.49181207339,2757.49181207339,0.484207794997669,1,143
"sarimax0",793.703594728722,793.703594728722,0.139372115559011,1,143
"sarimax01",11541.7706765342,11541.7706765342,2.02670242036048,1,143
"sarimax012",11588.0339736925,11588.0339736925,2.03482612502871,1,143
"sarimax01c",3221.36663833237,3221.36663833237,0.565662907863045,1,143
"sarimax0c",1362.78892177879,1362.78892177879,0.239301896010198,1,143
"ets",6014.98409878602,6014.98409878602,1.12630045330727,1,144
"nnetar",12561.0123317088,12561.0123317088,2.35203845111696,1,144
"nnetarc",6873.98174334201,6873.98174334201,1.28714700261877,1,144
"nnetarx0",6070.43509453943,6070.43509453943,1.13668360322549,1,144
"nnetarx01",14424.4297760754,14424.4297760754,2.7009617197112,1,144
"nnetarx012",13440.3832973783,13440.3832973783,2.51669988679037,1,144
"nnetarx01c",14748.4619564844,14748.4619564844,2.76163645894359,1,144
"nnetarx0c",7825.76915379183,7825.76915379183,1.46536835353774,1,144
"prophet",19803.7858000928,19803.7858000928,3.70824137811874,1,144
"prophetc",52640.3350919556,52640.3350919556,9.85685619489536,1,144
"prophetx0",32571.3493986932,32571.3493986932,6.09895637130305,1,144
"prophetx01",30411.4487976376,30411.4487976376,5.69451689380576,1,144
"prophetx012",31514.099072511,31514.099072511,5.9009871826765,1,144
"prophetx01c",28663.3084234755,28663.3084234755,5.36717915466512,1,144
"prophetx0c",42197.0881177959,42197.0881177959,7.90136743419028,1,144
"sarima",5804.1453135123,5804.1453135123,1.08682107721441,1,144
"sarimac",5825.62388875196,5825.62388875196,1.09084292143403,1,144
"sarimax0",6728.1613127609,6728.1613127609,1.25984225594486,1,144
"sarimax01",1959.97129255894,1959.97129255894,0.367002891283437,1,144
"sarimax012",4823.55641333654,4823.55641333654,0.903206672814081,1,144
"sarimax01c",2828.24266019766,2828.24266019766,0.529585937041211,1,144
"sarimax0c",7556.58916062466,7556.58916062466,1.41496463785932,1,144
"ets",21593.9477752758,21593.9477752758,3.70651777816324,1,145
"nnetar",50130.7542886989,50130.7542886989,8.60475045774359,1,145
"nnetarc",47991.008547047,47991.008547047,8.23747136108566,1,145
"nnetarx0",36187.4395712282,36187.4395712282,6.21143431079972,1,145
